thisRow.t,notes,overall_trial_num,participant,session,age,gender,handedness,phase,calib_target,n_shapes,block_num,trial_in_block,prop_used,stimulus_logit,detection_accuracy,is_timeout,rt_choice,early_response,true_controlled,response_controlled,quest_alpha_sd,mean_evidence,sum_evidence,var_evidence,target_snippet_id,distractor_snippet_ids,quest_alpha_mean,quest_beta_mean,quest_beta_sd,quest_lambda_mean,quest_lambda_sd,control_condition,threshold_75,agency_rating,img_A_name,img_B_name,trigger_stim_onset,trigger_motion_start,trigger_resp_onset,trigger_resp_val,participant,session,age,gender,handedness,quest_prop_low,quest_low_converged,quest_prop_high,quest_high_converged,miniblock_order,starts_with,
,,39,13,001,26,f,r,calibration,0.55,2,0,39,0.40766968306220214,-0.37360720091511007,1,False,0.5574889997951686,False,dot,dot,0.32208763245963384,6.350710223644164,1155.8292607032379,418.33167453197063,638,[np.int64(801)],nan,nan,nan,nan,nan,,,,,,,,,,13,001,26,f,r,,,,,,,
,,40,13,001,26,f,r,calibration,0.55,2,0,40,0.40766968306220214,-0.37360720091511007,1,False,0.546029900200665,False,dot,dot,0.3231329852025444,6.79023473832554,1235.8227223752483,470.4460422537642,975,[np.int64(1406)],-0.4371105054529928,3.146815080962357,2.0165198438142817,0.024830144272922093,0.021140270769615572,,,,,,,,,,13,001,26,f,r,,,,,,,
,,41,13,001,26,f,r,calibration,0.55,2,0,41,0.40766968306220214,-0.37360720091511007,1,False,0.5064532998949289,False,dot,dot,0.3236851063383974,6.487327466904824,1180.693598976678,209.57976811538322,746,[np.int64(1514)],nan,nan,nan,nan,nan,,,,,,,,,,13,001,26,f,r,,,,,,,
,,42,13,001,26,f,r,calibration,0.55,2,0,42,0.40766968306220214,-0.37360720091511007,0,False,2.874914299696684,False,dot,square,0.2945055084168486,5.381860475961439,979.4986066249819,307.6040547666582,1548,[np.int64(308)],nan,nan,nan,nan,nan,,,,,,,,,,13,001,26,f,r,,,,,,,
,,43,13,001,26,f,r,calibration,0.55,2,0,43,0.47090191089840744,-0.11652402308997703,1,False,0.9242571997456253,False,square,square,0.2908077838221832,9.025541787389882,1642.6486053049584,271.2520526261099,1526,[np.int64(1404)],nan,nan,nan,nan,nan,,,,,,,,,,13,001,26,f,r,,,,,,,
,,44,13,001,26,f,r,calibration,0.55,2,0,44,0.40766968306220214,-0.37360720091511007,1,False,0.6726534999907017,False,dot,dot,0.29108551065668625,5.65444542950273,1029.1090681694968,477.0739511747657,1504,[np.int64(938)],nan,nan,nan,nan,nan,,,,,,,,,,13,001,26,f,r,,,,,,,
,,45,13,001,26,f,r,calibration,0.55,2,0,45,0.40766968306220214,-0.37360720091511007,1,False,0.6428832001984119,False,square,square,0.2910791121449637,6.552214412194769,1192.503023019448,463.1504422300487,1490,[np.int64(819)],nan,nan,nan,nan,nan,,,,,,,,,,13,001,26,f,r,,,,,,,
,,46,13,001,26,f,r,calibration,0.55,2,0,46,0.40766968306220214,-0.37360720091511007,1,False,1.2538439999334514,False,square,square,0.2908211365868625,6.124606115770548,1114.6783130702397,418.2457034300827,253,[np.int64(1395)],nan,nan,nan,nan,nan,,,,,,,,,,13,001,26,f,r,,,,,,,
,,47,13,001,26,f,r,calibration,0.55,2,0,47,0.40766968306220214,-0.37360720091511007,1,False,0.9462350998073816,False,square,square,0.2903537405270987,6.5509426724390805,1192.2715663839126,265.27766748377996,1340,[np.int64(1379)],nan,nan,nan,nan,nan,,,,,,,,,,13,001,26,f,r,,,,,,,
,,48,13,001,26,f,r,calibration,0.55,2,0,48,0.40766968306220214,-0.37360720091511007,1,False,0.6714797001332045,False,square,square,0.289725184479661,5.758510845355794,1048.0489738547544,430.0766914839179,1297,[np.int64(513)],nan,nan,nan,nan,nan,,,,,,,,,,13,001,26,f,r,,,,,,,
