thisRow.t,notes,overall_trial_num,participant,session,age,gender,handedness,phase,calib_target,n_shapes,block_num,trial_in_block,prop_used,stimulus_logit,detection_accuracy,is_timeout,rt_choice,early_response,true_controlled,response_controlled,quest_alpha_sd,mean_evidence,sum_evidence,var_evidence,target_snippet_id,distractor_snippet_ids,quest_alpha_mean,quest_beta_mean,quest_beta_sd,quest_lambda_mean,quest_lambda_sd,control_condition,threshold_75,agency_rating,img_A_name,img_B_name,trigger_stim_onset,trigger_motion_start,trigger_resp_onset,trigger_resp_val,participant,session,age,gender,handedness,quest_prop_high,quest_high_converged,quest_prop_low,quest_low_converged,miniblock_order,starts_with,
,,27,12,001,36,m,r,calibration,0.85,2,-1,27,0.5981210736084265,0.3976423325602886,1,False,2.2415457000024617,False,dot,dot,0.3554387468721369,7.4276333017123,1700.9280260921166,113.78650672477046,246,[np.int64(962)],nan,nan,nan,nan,nan,,,,,,,,,,12,001,36,m,r,,,,,,,
,,28,12,001,36,m,r,calibration,0.85,2,-1,28,0.5981210736084265,0.3976423325602886,1,False,1.0867456998676062,False,dot,dot,0.3608140291631383,7.809138219004456,1944.4754165321096,131.3207184785104,424,[np.int64(231)],nan,nan,nan,nan,nan,,,,,,,,,,12,001,36,m,r,,,,,,,
,,29,12,001,36,m,r,calibration,0.85,2,-1,29,0.5350820483873121,0.14055915473515587,0,False,2.0479353996925056,False,square,dot,0.30028691584790457,2.3882276121611423,819.1620709712718,29.679278214123855,1089,[np.int64(42)],nan,nan,nan,nan,nan,,,,,,,,,,12,001,36,m,r,,,,,,,
,,30,12,001,36,m,r,calibration,0.85,2,-1,30,0.5981210736084265,0.3976423325602886,0,False,1.1183652002364397,False,dot,square,0.2723329174824082,5.296595452172713,1159.9544040258243,77.8249070884108,6,[np.int64(1531)],0.5118583198774967,3.594617800625308,2.1910465319147185,0.023984424133939204,0.020984619922077452,,,,,,,,,,12,001,36,m,r,,,,,,,
,,31,12,001,36,m,r,calibration,0.85,2,-1,31,0.6580745541515514,0.654725510385422,1,False,1.5431340001523495,False,square,square,0.26671286853540926,8.402670339180249,1915.8088373330966,149.55960485549352,26,[np.int64(990)],nan,nan,nan,nan,nan,,,,,,,,,,12,001,36,m,r,,,,,,,
,,32,12,001,36,m,r,calibration,0.85,2,-1,32,0.6580745541515514,0.654725510385422,1,False,0.9095086003653705,False,square,square,0.26169871819204876,9.830263395837385,2290.4513712301105,113.06543876199719,1297,[np.int64(294)],nan,nan,nan,nan,nan,,,,,,,,,,12,001,36,m,r,,,,,,,
,,33,12,001,36,m,r,calibration,0.85,2,-1,33,0.6580745541515514,0.654725510385422,0,False,1.0713726999238133,False,square,dot,0.2551450507438501,8.499806695539705,1912.4565064964336,161.7573569321688,834,[np.int64(1384)],nan,nan,nan,nan,nan,,,,,,,,,,12,001,36,m,r,,,,,,,
,,34,12,001,36,m,r,calibration,0.85,2,-1,34,0.6580745541515514,0.654725510385422,1,False,0.7344897999428213,False,square,square,0.24985701626892245,12.850382050430946,2531.5252639348964,205.62935551478103,235,[np.int64(874)],nan,nan,nan,nan,nan,,,,,,,,,,12,001,36,m,r,,,,,,,
,,35,12,001,36,m,r,calibration,0.85,2,-1,35,0.6580745541515514,0.654725510385422,1,False,0.9050827003084123,False,square,square,0.2451107926444017,9.478857734823443,2170.6584212745684,166.60990826506736,1509,[np.int64(1191)],nan,nan,nan,nan,nan,,,,,,,,,,12,001,36,m,r,,,,,,,
,,36,12,001,36,m,r,calibration,0.85,2,-1,36,0.6580745541515514,0.654725510385422,1,False,1.6581588997505605,False,square,square,0.24088523506362494,5.5842516113080505,1518.9164382757897,81.38485566147416,1062,[np.int64(1406)],nan,nan,nan,nan,nan,,,,,,,,,,12,001,36,m,r,,,,,,,
,,37,12,001,36,m,r,calibration,0.85,2,-1,37,0.6580745541515514,0.654725510385422,1,False,0.7587903998792171,False,dot,dot,0.23715185101301733,6.004372652737931,1675.219970113883,108.1153847341341,570,[np.int64(478)],nan,nan,nan,nan,nan,,,,,,,,,,12,001,36,m,r,,,,,,,
,,38,12,001,36,m,r,calibration,0.85,2,-1,38,0.6580745541515514,0.654725510385422,1,False,0.92697610007599,False,square,square,0.23387773016346472,8.92876228614234,1633.9634983640485,98.35609220449288,515,[np.int64(719)],nan,nan,nan,nan,nan,,,,,,,,,,12,001,36,m,r,,,,,,,
,,39,12,001,36,m,r,calibration,0.85,2,-1,39,0.6580745541515514,0.654725510385422,0,False,0.9916330999694765,False,dot,square,0.22703225206203254,8.864815337018813,1746.368621392706,142.8930049020113,820,[np.int64(1323)],nan,nan,nan,nan,nan,,,,,,,,,,12,001,36,m,r,,,,,,,
,,40,12,001,36,m,r,calibration,0.85,2,-1,40,0.6580745541515514,0.654725510385422,1,False,1.0982607998885214,False,square,square,0.2234744383580233,10.500210012806313,2163.0432626381007,128.67226670914633,498,[np.int64(332)],0.507521231640407,3.4157058761474657,2.0683650471738235,0.024151601678855404,0.020990222799696683,,,,,,,,,,12,001,36,m,r,,,,,,,
,,41,12,001,36,m,r,calibration,0.85,2,-1,41,0.6580745541515514,0.654725510385422,1,False,0.7851678999140859,False,dot,dot,0.22033152673255607,2.5691157190510867,781.0111785915303,42.193177020844836,1099,[np.int64(1143)],nan,nan,nan,nan,nan,,,,,,,,,,12,001,36,m,r,,,,,,,
,,42,12,001,36,m,r,calibration,0.85,2,-1,42,0.6580745541515514,0.654725510385422,1,False,2.549803199712187,False,square,square,0.21756530029234875,6.294851495502023,1768.8532702360685,106.06096211073067,1337,[np.int64(1158)],nan,nan,nan,nan,nan,,,,,,,,,,12,001,36,m,r,,,,,,,
,,43,12,001,36,m,r,calibration,0.85,2,-1,43,0.6580745541515514,0.654725510385422,0,False,1.6694881999865174,False,square,dot,0.2125470431658528,4.3423896135522195,1072.5702345473983,62.60832512683882,732,[np.int64(996)],nan,nan,nan,nan,nan,,,,,,,,,,12,001,36,m,r,,,,,,,
,,44,12,001,36,m,r,calibration,0.85,2,-1,44,0.6580745541515514,0.654725510385422,0,False,3.6513797999359667,False,dot,square,0.21147558010371648,7.450696566593281,1855.223445081727,136.90946504995335,662,[np.int64(44)],nan,nan,nan,nan,nan,,,,,,,,,,12,001,36,m,r,,,,,,,
,,45,12,001,36,m,r,calibration,0.85,2,-1,45,0.7133701336716126,0.9118086882105548,0,False,1.1524459002539515,False,dot,square,0.22329094927691054,5.247834564172712,1196.5062806313783,54.49502098737056,1137,[np.int64(371)],nan,nan,nan,nan,nan,,,,,,,,,,12,001,36,m,r,,,,,,,
,,46,12,001,36,m,r,calibration,0.85,2,-1,46,0.7133701336716126,0.9118086882105548,1,False,0.7578720999881625,False,square,square,0.2165723832025307,3.9928257160686718,814.536446078009,19.06454778189056,1043,[np.int64(1151)],nan,nan,nan,nan,nan,,,,,,,,,,12,001,36,m,r,,,,,,,
,,47,12,001,36,m,r,calibration,0.85,2,-1,47,0.7133701336716126,0.9118086882105548,1,False,0.8055369001813233,False,dot,dot,0.21070148771552955,6.54036713327282,1877.0853672492995,103.94914739817278,544,[np.int64(1123)],nan,nan,nan,nan,nan,,,,,,,,,,12,001,36,m,r,,,,,,,
,,48,12,001,36,m,r,calibration,0.85,2,-1,48,0.7133701336716126,0.9118086882105548,1,False,1.4334688000380993,False,square,square,0.20557304220315628,8.44060781804034,1806.2900730606325,101.06454439669221,485,[np.int64(475)],nan,nan,nan,nan,nan,,,,,,,,,,12,001,36,m,r,,,,,,,
,,49,12,001,36,m,r,calibration,0.85,2,-1,49,0.7133701336716126,0.9118086882105548,0,False,2.874559700023383,False,square,dot,0.21517921301928372,4.407729067351054,1146.0095575112741,68.48129863012086,141,[np.int64(89)],nan,nan,nan,nan,nan,,,,,,,,,,12,001,36,m,r,,,,,,,
