participant,session,age,gender,handedness,phase,overall_trial_num,trial_in_block,mem_filename,mem_ground_truth,controlled,trial_level,item_type,mem_response,mem_rt,mem_trigger_onset,mem_trigger_resp
17,001,26,f,r,memory_test,705,445,wetsuit_09s,seen,no,low,uncontrolled,no,0.746913899667561,51,62
17,001,26,f,r,memory_test,706,446,barrette_09s,seen,yes,high,controlled,no,1.1239557000808418,51,62
17,001,26,f,r,memory_test,707,447,pipe1_10s,unseen,,,,no,0.4870600001886487,52,61
17,001,26,f,r,memory_test,708,448,cloak_13s,unseen,,,,no,0.6037558997049928,52,61
17,001,26,f,r,memory_test,709,449,joystick_02s,seen,no,high,uncontrolled,no,0.5288379997946322,51,62
17,001,26,f,r,memory_test,710,450,holster_09s,unseen,,,,no,0.6655692998319864,52,61
17,001,26,f,r,memory_test,711,451,hanger_13n,seen,no,low,uncontrolled,no,0.7491322997957468,51,62
17,001,26,f,r,memory_test,712,452,glue_11s,seen,no,high,uncontrolled,no,0.5475400998257101,51,62
17,001,26,f,r,memory_test,713,453,dollhouse_12s,unseen,,,,no,0.5394326997920871,52,61
17,001,26,f,r,memory_test,714,454,ironing_board_01b,seen,no,low,uncontrolled,no,0.523114399984479,51,62
17,001,26,f,r,memory_test,715,455,cape_06s,seen,yes,high,controlled,yes,0.9945470001548529,51,61
17,001,26,f,r,memory_test,716,456,computer_screen_12s,seen,no,low,uncontrolled,no,0.6254353001713753,51,62
17,001,26,f,r,memory_test,717,457,bowler_hat_03s,unseen,,,,no,0.522471799980849,52,61
17,001,26,f,r,memory_test,718,458,frisbee_04s,unseen,,,,no,0.6448686001822352,52,61
17,001,26,f,r,memory_test,719,459,pliers_10s,seen,no,low,uncontrolled,no,0.49218039959669113,51,62
17,001,26,f,r,memory_test,720,460,limousine_10s,seen,yes,high,controlled,no,1.0259365998208523,51,62
17,001,26,f,r,memory_test,721,461,pan_15s,seen,no,low,uncontrolled,no,0.48289830004796386,51,62
17,001,26,f,r,memory_test,722,462,nutcracker_06s,seen,yes,low,controlled,no,0.5741838002577424,51,62
17,001,26,f,r,memory_test,723,463,mouthpiece_01s,unseen,,,,no,1.0669672996737063,52,61
17,001,26,f,r,memory_test,724,464,solar_panel_04s,seen,yes,low,controlled,no,0.5922578000463545,51,62
17,001,26,f,r,memory_test,725,465,wood_03s,seen,no,low,uncontrolled,yes,0.5885980003513396,51,61
17,001,26,f,r,memory_test,726,466,cufflink_05s,unseen,,,,no,0.5178169999271631,52,61
17,001,26,f,r,memory_test,727,467,suspenders_09s,unseen,,,,no,0.570172700099647,52,61
17,001,26,f,r,memory_test,728,468,chopsticks_04s,unseen,,,,no,0.4971313001587987,52,61
17,001,26,f,r,memory_test,729,469,crucifix_09s,seen,no,low,uncontrolled,yes,0.846019099932164,51,61
17,001,26,f,r,memory_test,730,470,snowman_03s,seen,no,high,uncontrolled,no,0.5677946000359952,51,62
17,001,26,f,r,memory_test,731,471,lip_balm_08s,seen,no,high,uncontrolled,no,0.6124738999642432,51,62
17,001,26,f,r,memory_test,732,472,tiara_08s,seen,no,high,uncontrolled,yes,0.6135689998045564,51,61
17,001,26,f,r,memory_test,733,473,highlighter_05s,seen,yes,low,controlled,yes,0.8644547001458704,51,61
17,001,26,f,r,memory_test,734,474,ketchup_10s,unseen,,,,no,0.4757142998278141,52,61
17,001,26,f,r,memory_test,735,475,pallet_11s,unseen,,,,no,0.42290240013971925,52,61
17,001,26,f,r,memory_test,736,476,dip_04s,seen,no,low,uncontrolled,yes,0.696482699830085,51,61
17,001,26,f,r,memory_test,737,477,doorstop_06s,unseen,,,,no,0.5418602996505797,52,61
17,001,26,f,r,memory_test,738,478,cross_05s,unseen,,,,no,0.5796403996646404,52,61
17,001,26,f,r,memory_test,739,479,staple_06s,seen,yes,high,controlled,no,0.8572415998205543,51,62
17,001,26,f,r,memory_test,740,480,gavel_02s,unseen,,,,no,0.6733950995840132,52,61
