participant,session,age,gender,handedness,phase,overall_trial_num,trial_in_block,mem_filename,mem_ground_truth,controlled,trial_level,item_type,mem_response,mem_rt,mem_trigger_onset,mem_trigger_resp
2,001,23,f,r,memory_test,568,293,cat_08s,unseen,,,,no,0.9437696000095457,52,61
2,001,23,f,r,memory_test,569,294,cloak_12s,seen,no,high,uncontrolled,no,1.0055643999949098,51,62
2,001,23,f,r,memory_test,570,295,clipper2_06s,unseen,,,,yes,1.1477742999559268,52,62
2,001,23,f,r,memory_test,571,296,saltshaker_07s,seen,no,low,uncontrolled,yes,1.3974508999381214,51,61
2,001,23,f,r,memory_test,572,297,hairdryer_07s,unseen,,,,no,1.094501700019464,52,61
2,001,23,f,r,memory_test,573,298,mashed_potato_05s,seen,yes,low,controlled,no,0.8267757999710739,51,62
2,001,23,f,r,memory_test,574,299,quesadilla_06s,unseen,,,,no,1.8145950000034645,52,61
2,001,23,f,r,memory_test,575,300,bowling_ball_17s,unseen,,,,no,1.0264078000327572,52,61
2,001,23,f,r,memory_test,576,301,canoe_09s,unseen,,,,no,1.2491471000248566,52,61
2,001,23,f,r,memory_test,577,302,walrus_02n,seen,yes,high,controlled,no,0.8030041999882087,51,62
2,001,23,f,r,memory_test,578,303,ice_cream_04s,unseen,,,,no,0.7898661999497563,52,61
2,001,23,f,r,memory_test,579,304,cardinal_11s,unseen,,,,no,0.6545464999508113,52,61
2,001,23,f,r,memory_test,580,305,nutcracker_03s,seen,no,low,uncontrolled,yes,0.8166008999105543,51,61
2,001,23,f,r,memory_test,581,306,corset_17s,unseen,,,,no,0.8907289999770001,52,61
2,001,23,f,r,memory_test,582,307,salami_08s,seen,no,low,uncontrolled,no,0.6842524000676349,51,62
2,001,23,f,r,memory_test,583,308,pea_14s,seen,no,low,uncontrolled,yes,2.9711526000173762,51,61
2,001,23,f,r,memory_test,584,309,mulberry_02s,seen,no,high,uncontrolled,no,1.1823639000067487,51,62
2,001,23,f,r,memory_test,585,310,dip_05s,seen,no,high,uncontrolled,yes,1.205250300001353,51,61
2,001,23,f,r,memory_test,586,311,praying_mantis_20s,seen,yes,low,controlled,no,3.1498402000870556,51,62
2,001,23,f,r,memory_test,587,312,cheesecake_11s,seen,yes,high,controlled,no,0.9554088999284431,51,62
2,001,23,f,r,memory_test,588,313,jelly_bean_13n,seen,yes,low,controlled,yes,0.9573830999433994,51,61
2,001,23,f,r,memory_test,589,314,toilet_02s,unseen,,,,no,0.9202869000146165,52,61
2,001,23,f,r,memory_test,590,315,hot_chocolate_12s,unseen,,,,no,1.2978278999216855,52,61
2,001,23,f,r,memory_test,591,316,light_switch_17s,seen,no,low,uncontrolled,no,1.0446916999062523,51,62
2,001,23,f,r,memory_test,592,317,bowtie_14s,seen,no,low,uncontrolled,no,0.8501653999555856,51,62
2,001,23,f,r,memory_test,593,318,coffee_bean_11s,unseen,,,,yes,0.9611464999616146,52,62
2,001,23,f,r,memory_test,594,319,washing_machine_08s,unseen,,,,no,0.8019987000152469,52,61
2,001,23,f,r,memory_test,595,320,kangaroo_11s,seen,no,high,uncontrolled,no,2.334385500056669,51,62
2,001,23,f,r,memory_test,596,321,locker_12s,unseen,,,,no,0.8029634000267833,52,61
2,001,23,f,r,memory_test,597,322,hobbyhorse_01b,unseen,,,,no,0.9584381999447942,52,61
2,001,23,f,r,memory_test,598,323,ginger_10s,unseen,,,,no,1.725091400090605,52,61
2,001,23,f,r,memory_test,599,324,costume_04s,seen,no,low,uncontrolled,yes,1.2599005000665784,51,61
2,001,23,f,r,memory_test,600,325,swordfish_08s,seen,no,high,uncontrolled,no,1.1780200999928638,51,62
2,001,23,f,r,memory_test,601,326,bowling_ball_01b,seen,no,high,uncontrolled,no,0.7617780999280512,51,62
2,001,23,f,r,memory_test,602,327,cigarette_09s,seen,no,high,uncontrolled,yes,0.9184837000211701,51,61
2,001,23,f,r,memory_test,603,328,donut_02s,seen,yes,low,controlled,no,0.8022506000706926,51,62
2,001,23,f,r,memory_test,604,329,pinball_09s,unseen,,,,no,1.429158000042662,52,61
2,001,23,f,r,memory_test,605,330,toast_13s,seen,yes,low,controlled,no,1.0391686001094058,51,62
2,001,23,f,r,memory_test,606,331,sequin_06s,seen,yes,high,controlled,yes,3.334478799952194,51,61
2,001,23,f,r,memory_test,607,332,walrus_01b,unseen,,,,no,0.9823287000181153,52,61
2,001,23,f,r,memory_test,608,333,coaster_08s,unseen,,,,no,0.7751299999654293,52,61
2,001,23,f,r,memory_test,609,334,target_14s,seen,no,high,uncontrolled,no,0.7990826000459492,51,62
2,001,23,f,r,memory_test,610,335,flipper_09s,unseen,,,,no,0.9848931999877095,52,61
2,001,23,f,r,memory_test,611,336,eggshell_12s,seen,yes,low,controlled,no,1.1622686000773683,51,62
2,001,23,f,r,memory_test,612,337,figurine_08s,unseen,,,,yes,2.2395594000117853,52,62
2,001,23,f,r,memory_test,613,338,brush_04s,seen,yes,low,controlled,no,0.8464779999339953,51,62
2,001,23,f,r,memory_test,614,339,snack_02s,unseen,,,,no,0.8582227000733837,52,61
2,001,23,f,r,memory_test,615,340,shark_07s,seen,no,low,uncontrolled,no,0.8113344999728724,51,62
2,001,23,f,r,memory_test,616,341,pretzel_07s,seen,yes,high,controlled,yes,3.391604899894446,51,61
2,001,23,f,r,memory_test,617,342,shears_03s,unseen,,,,yes,1.1960593999829143,52,62
2,001,23,f,r,memory_test,618,343,pill_06s,seen,no,low,uncontrolled,no,0.9905961999902502,51,62
2,001,23,f,r,memory_test,619,344,soap_06s,seen,yes,high,controlled,yes,0.8436596000101417,51,61
2,001,23,f,r,memory_test,620,345,meatball_08s,unseen,,,,no,1.0497389000374824,52,61
2,001,23,f,r,memory_test,621,346,wallet_05s,seen,yes,low,controlled,no,1.198474199976772,51,62
2,001,23,f,r,memory_test,622,347,drumstick_04s,unseen,,,,no,0.9817483000224456,52,61
2,001,23,f,r,memory_test,623,348,mouthpiece_03s,unseen,,,,no,1.5349463999737054,52,61
2,001,23,f,r,memory_test,624,349,doorknocker_04s,unseen,,,,no,1.041620000032708,52,61
2,001,23,f,r,memory_test,625,350,mushroom_08n,seen,no,low,uncontrolled,no,0.9059070999501273,51,62
2,001,23,f,r,memory_test,626,351,drumstick_12s,seen,no,low,uncontrolled,no,3.772317299968563,51,62
2,001,23,f,r,memory_test,627,352,bunkbed_06s,seen,yes,high,controlled,no,0.7299690999789163,51,62
2,001,23,f,r,memory_test,628,353,soap_09s,unseen,,,,no,0.785816099960357,52,61
2,001,23,f,r,memory_test,629,354,butter_13s,unseen,,,,no,0.9042685999302194,52,61
2,001,23,f,r,memory_test,630,355,pacifier_04s,unseen,,,,no,3.18320109997876,52,61
2,001,23,f,r,memory_test,631,356,toad_06s,seen,no,high,uncontrolled,no,0.8790244000265375,51,62
2,001,23,f,r,memory_test,632,357,bracelet1_05s,seen,yes,high,controlled,no,0.6274634000146762,51,62
2,001,23,f,r,memory_test,633,358,mouthpiece_01s,seen,no,high,uncontrolled,no,0.8868870999431238,51,62
2,001,23,f,r,memory_test,634,359,jumpsuit_07s,seen,no,low,uncontrolled,yes,4.170214500045404,51,61
2,001,23,f,r,memory_test,635,360,nightshirt_08s,unseen,,,,no,0.9976353999227285,52,61
2,001,23,f,r,memory_test,636,361,filing_cabinet_09s,unseen,,,,no,0.867658199975267,52,61
2,001,23,f,r,memory_test,637,362,hairbrush_08s,unseen,,,,no,0.921107399975881,52,61
2,001,23,f,r,memory_test,638,363,avocado_01b,unseen,,,,no,0.8358874999685213,52,61
2,001,23,f,r,memory_test,639,364,dishrag_08s,unseen,,,,no,0.774341500014998,52,61
2,001,23,f,r,memory_test,640,365,yarn_10s,unseen,,,,no,0.9168059999356046,52,61
2,001,23,f,r,memory_test,641,366,sloth_03s,seen,no,low,uncontrolled,yes,1.911691899993457,51,61
2,001,23,f,r,memory_test,642,367,clasp_03s,unseen,,,,no,0.9318894000025466,52,61
2,001,23,f,r,memory_test,643,368,zebra_11s,seen,no,high,uncontrolled,yes,2.2733980000484735,51,61
2,001,23,f,r,memory_test,644,369,badge_02s,unseen,,,,no,1.6155829000053927,52,61
2,001,23,f,r,memory_test,645,370,puppy_06s,seen,no,high,uncontrolled,yes,0.8767056999495253,51,61
2,001,23,f,r,memory_test,646,371,pill_03s,unseen,,,,no,0.928269499912858,52,61
2,001,23,f,r,memory_test,647,372,robot_01b,seen,yes,high,controlled,no,0.9990178999723867,51,62
2,001,23,f,r,memory_test,648,373,shower_cap_12s,seen,no,low,uncontrolled,yes,1.0745496000163257,51,61
2,001,23,f,r,memory_test,649,374,locker_08s,seen,no,low,uncontrolled,yes,1.0386487999930978,51,61
2,001,23,f,r,memory_test,650,375,bubble_wrap_05s,unseen,,,,no,1.079234299948439,52,61
2,001,23,f,r,memory_test,651,376,batter_04s,seen,yes,low,controlled,yes,1.2219683999428526,51,61
2,001,23,f,r,memory_test,652,377,puppy_07s,unseen,,,,no,0.9060746000614017,52,61
2,001,23,f,r,memory_test,653,378,grapefruit_09s,seen,no,high,uncontrolled,no,0.8328299999702722,51,62
2,001,23,f,r,memory_test,654,379,parfait_17s,unseen,,,,no,0.8193207000149414,52,61
2,001,23,f,r,memory_test,655,380,dumpster_10s,unseen,,,,no,0.9927496999735013,52,61
2,001,23,f,r,memory_test,656,381,leggings_12s,seen,yes,low,controlled,yes,3.0472637000493705,51,61
2,001,23,f,r,memory_test,657,382,gearshift_12n,unseen,,,,no,0.8098653999622911,52,61
2,001,23,f,r,memory_test,658,383,lion_22s,seen,yes,high,controlled,no,0.958133399952203,51,62
2,001,23,f,r,memory_test,659,384,lollipop_06n,seen,yes,low,controlled,no,1.2301142000360414,51,62
2,001,23,f,r,memory_test,660,385,creme_brulee_10s,seen,yes,low,controlled,yes,1.2518077000277117,51,61
2,001,23,f,r,memory_test,661,386,nightshirt_01b,seen,yes,high,controlled,no,1.0829436000203714,51,62
