thisRow.t,notes,overall_trial_num,participant,session,age,gender,handedness,phase,calib_target,n_shapes,block_num,trial_in_block,prop_used,stimulus_logit,detection_accuracy,is_timeout,rt_choice,early_response,true_controlled,response_controlled,quest_alpha_sd,mean_evidence,sum_evidence,var_evidence,target_snippet_id,distractor_snippet_ids,quest_alpha_mean,quest_beta_mean,quest_beta_sd,quest_lambda_mean,quest_lambda_sd,control_condition,threshold_75,agency_rating,img_A_name,img_B_name,trigger_stim_onset,trigger_motion_start,trigger_resp_onset,trigger_resp_val,participant,session,age,gender,handedness,quest_prop_high,quest_high_converged,quest_prop_low,quest_low_converged,miniblock_order,starts_with,
,,41,4,001,27,m,r,calibration,0.85,2,-1,41,0.2414297750189407,-1.1448567343905092,1,False,1.2133454999420792,False,square,square,0.3030626650226828,3.1795835427189862,575.5046212321365,400.1482920741798,1316,[np.int64(504)],nan,nan,nan,nan,nan,,,,,,,,,,4,001,27,m,r,,,,,,,
,,42,4,001,27,m,r,calibration,0.85,2,-1,42,0.2414297750189407,-1.1448567343905092,1,False,1.1369543999899179,False,dot,dot,0.29680805568924556,3.024499332750267,547.4343792277983,454.0373656823688,1346,[np.int64(879)],nan,nan,nan,nan,nan,,,,,,,,,,4,001,27,m,r,,,,,,,
,,43,4,001,27,m,r,calibration,0.85,2,-1,43,0.2414297750189407,-1.1448567343905092,1,False,1.1537748000118881,False,square,square,0.2909547769692183,2.877925744538908,520.9045597615424,477.52879916553906,690,[np.int64(1217)],nan,nan,nan,nan,nan,,,,,,,,,,4,001,27,m,r,,,,,,,
,,44,4,001,27,m,r,calibration,0.85,2,-1,44,0.2414297750189407,-1.1448567343905092,1,False,1.335571700008586,False,dot,dot,0.2855431706333438,1.4524576557837083,262.8948356968512,398.5469464709103,151,[np.int64(1558)],nan,nan,nan,nan,nan,,,,,,,,,,4,001,27,m,r,,,,,,,
,,45,4,001,27,m,r,calibration,0.85,2,-1,45,0.2414297750189407,-1.1448567343905092,1,False,1.055932399816811,False,square,square,0.2805960131804135,4.163729481264483,753.6350361088715,133.36879548077323,182,[np.int64(1566)],nan,nan,nan,nan,nan,,,,,,,,,,4,001,27,m,r,,,,,,,
,,46,4,001,27,m,r,calibration,0.85,2,-1,46,0.19750845711691875,-1.4019399122156422,0,False,2.669636699836701,False,dot,square,0.25974516881842785,1.2127335570322473,219.50477382283677,151.30093326720387,1222,[np.int64(1514)],nan,nan,nan,nan,nan,,,,,,,,,,4,001,27,m,r,,,,,,,
,,47,4,001,27,m,r,calibration,0.85,2,-1,47,0.2414297750189407,-1.1448567343905092,0,False,0.8171802000142634,False,dot,square,0.2569156034292654,3.0849525942242524,558.3764195545897,433.31567603634204,1427,[np.int64(1048)],nan,nan,nan,nan,nan,,,,,,,,,,4,001,27,m,r,,,,,,,
,,48,4,001,27,m,r,calibration,0.85,2,-1,48,0.2414297750189407,-1.1448567343905092,1,False,1.1305599000770599,False,dot,dot,0.2514238335030879,2.947573682521473,533.5108365363866,325.9645257950049,189,[np.int64(1044)],nan,nan,nan,nan,nan,,,,,,,,,,4,001,27,m,r,,,,,,,
,,49,4,001,27,m,r,calibration,0.85,2,-1,49,0.2414297750189407,-1.1448567343905092,0,False,2.8191075001377612,False,square,dot,0.25089078037761503,1.2888222910735196,233.27683468430706,340.427655036485,528,[np.int64(1270)],nan,nan,nan,nan,nan,,,,,,,,,,4,001,27,m,r,,,,,,,
,,50,4,001,27,m,r,calibration,0.85,2,-1,50,0.29156950079727495,-0.887773556565376,1,False,1.1497629000805318,False,dot,dot,0.24303215183243743,3.0316212229802586,548.7234413594268,255.97069844333618,975,[np.int64(706)],-1.1895624743674744,3.227602782148508,2.0013626830753686,0.021600033730789274,0.020195292313465594,,,,,,,,,,4,001,27,m,r,,,,,,,
,,51,4,001,27,m,r,calibration,0.85,2,-1,51,0.29156950079727495,-0.887773556565376,1,False,0.9652408000547439,False,dot,dot,0.2361855006879622,3.6091442289596394,653.2551054416947,300.2586686947184,1085,[np.int64(660)],nan,nan,nan,nan,nan,,,,,,,,,,4,001,27,m,r,,,,,,,
,,52,4,001,27,m,r,calibration,0.85,2,-1,52,0.2414297750189407,-1.1448567343905092,1,False,0.7531359000131488,False,dot,dot,0.23200953308461802,2.7878774326858276,504.6058153161348,441.2984142255857,170,[np.int64(576)],nan,nan,nan,nan,nan,,,,,,,,,,4,001,27,m,r,,,,,,,
,,53,4,001,27,m,r,calibration,0.85,2,-1,53,0.2414297750189407,-1.1448567343905092,1,False,0.787246200023219,False,square,square,0.2281274070028575,2.9141986868344976,527.4699623170441,454.2622122290502,1337,[np.int64(1525)],nan,nan,nan,nan,nan,,,,,,,,,,4,001,27,m,r,,,,,,,
,,54,4,001,27,m,r,calibration,0.85,2,-1,54,0.2414297750189407,-1.1448567343905092,1,False,1.7868425999768078,False,square,square,0.2245267869726454,1.6500422448341077,298.6576463149735,279.5686067644096,1121,[np.int64(352)],nan,nan,nan,nan,nan,,,,,,,,,,4,001,27,m,r,,,,,,,
,,55,4,001,27,m,r,calibration,0.85,2,-1,55,0.2414297750189407,-1.1448567343905092,1,False,2.6376841999590397,False,dot,dot,0.2211941492798045,2.4962156547219725,451.815033504677,251.92433429571636,685,[np.int64(4)],nan,nan,nan,nan,nan,,,,,,,,,,4,001,27,m,r,,,,,,,
,,56,4,001,27,m,r,calibration,0.85,2,-1,56,0.2414297750189407,-1.1448567343905092,0,False,0.6213346000295132,False,dot,square,0.2176743197895975,3.055879896292971,553.1142612290278,287.4740890593134,330,[np.int64(319)],nan,nan,nan,nan,nan,,,,,,,,,,4,001,27,m,r,,,,,,,
