participant,session,age,gender,handedness,phase,overall_trial_num,trial_in_block,mem_filename,mem_ground_truth,controlled,mem_response,mem_rt,mem_trigger_onset,mem_trigger_resp
1,001,20,f,r,memory_test,463,201,glove_15s,unseen,,no,0.6721414000494406,52,61
1,001,20,f,r,memory_test,464,202,dreidel_10s,seen,no,no,0.8965723000001162,51,62
1,001,20,f,r,memory_test,465,203,sink_01b,seen,yes,no,0.5499305999837816,51,62
1,001,20,f,r,memory_test,466,204,cheesecake_11s,seen,yes,yes,1.5721897999756038,51,61
1,001,20,f,r,memory_test,467,205,chinchilla_13n,seen,yes,no,0.5169777000555769,51,62
1,001,20,f,r,memory_test,468,206,boot_08s,seen,yes,yes,0.992994699976407,51,61
1,001,20,f,r,memory_test,469,207,pantsuit_09s,unseen,,no,0.6492390999337658,52,61
1,001,20,f,r,memory_test,470,208,figurine_08s,unseen,,no,0.49659829994197935,52,61
1,001,20,f,r,memory_test,471,209,electric_chair_11s,unseen,,no,1.6094209998846054,52,61
1,001,20,f,r,memory_test,472,210,soap_06s,seen,no,no,0.5731663000769913,51,62
1,001,20,f,r,memory_test,473,211,suit_06s,seen,no,no,0.5700357999885455,51,62
1,001,20,f,r,memory_test,474,212,zebra_14s,unseen,,no,0.544672799995169,52,61
1,001,20,f,r,memory_test,475,213,jam_13s,seen,yes,no,0.6415867999894544,51,62
1,001,20,f,r,memory_test,476,214,sewage_09s,seen,yes,no,0.6025024000555277,51,62
1,001,20,f,r,memory_test,477,215,caviar_01b,seen,yes,no,0.689762800000608,51,62
1,001,20,f,r,memory_test,478,216,puppy_06s,seen,no,no,0.5466017000144348,51,62
1,001,20,f,r,memory_test,479,217,badge_07s,seen,yes,no,0.4777886000229046,51,62
1,001,20,f,r,memory_test,480,218,elephant_05n,unseen,,no,0.5040136000607163,52,61
1,001,20,f,r,memory_test,481,219,coffee_bean_12s,seen,yes,no,0.6876201999839395,51,62
1,001,20,f,r,memory_test,482,220,pacifier_07s,seen,no,no,0.6043078999500722,51,62
1,001,20,f,r,memory_test,483,221,sewage_05s,unseen,,no,0.40919110004324466,52,61
1,001,20,f,r,memory_test,484,222,chick_03s,unseen,,no,0.5903648999519646,52,61
1,001,20,f,r,memory_test,485,223,gyro_01b,unseen,,no,1.181362499948591,52,61
1,001,20,f,r,memory_test,486,224,drumstick_04s,unseen,,no,1.2367847000714391,52,61
1,001,20,f,r,memory_test,487,225,pocket_01b,seen,no,no,0.7622304999968037,51,62
1,001,20,f,r,memory_test,488,226,butter_13s,unseen,,no,0.6139311000006273,52,61
1,001,20,f,r,memory_test,489,227,spaghetti_12s,unseen,,no,0.6494249000679702,52,61
1,001,20,f,r,memory_test,490,228,float_07s,unseen,,no,0.46886350004933774,52,61
1,001,20,f,r,memory_test,491,229,coffee_bean_11s,unseen,,no,0.6662235000403598,52,61
1,001,20,f,r,memory_test,492,230,pretzel_07s,seen,yes,no,0.5482132999459282,51,62
1,001,20,f,r,memory_test,493,231,blower_08s,seen,yes,no,0.7114661000669003,51,62
1,001,20,f,r,memory_test,494,232,cardinal_05s,seen,no,no,0.5234624000731856,51,62
1,001,20,f,r,memory_test,495,233,coaster_08s,unseen,,no,0.4980709000956267,52,61
1,001,20,f,r,memory_test,496,234,tattoo_12s,seen,yes,no,0.6835208999691531,51,62
1,001,20,f,r,memory_test,497,235,staple_01b,seen,no,no,1.0015990000683814,51,62
1,001,20,f,r,memory_test,498,236,nutcracker_03s,seen,yes,yes,0.9668698000023142,51,61
1,001,20,f,r,memory_test,499,237,undershirt_12s,seen,no,no,0.6477621999802068,51,62
1,001,20,f,r,memory_test,500,238,keyboard_04s,unseen,,no,0.8125575000885874,52,61
