thisRow.t,notes,overall_trial_num,participant,session,age,gender,handedness,phase,calib_target,n_shapes,block_num,trial_in_block,prop_used,stimulus_logit,detection_accuracy,is_timeout,rt_choice,early_response,true_controlled,response_controlled,quest_alpha_sd,mean_evidence,sum_evidence,var_evidence,target_snippet_id,distractor_snippet_ids,quest_alpha_mean,quest_beta_mean,quest_beta_sd,quest_lambda_mean,quest_lambda_sd,control_condition,threshold_75,agency_rating,img_A_name,img_B_name,trigger_fix,trigger_stim_onset,trigger_motion_start,trigger_resp_onset,trigger_resp_val,target_is_left,participant,session,age,gender,handedness,quest_prop_high,quest_high_converged,quest_prop_low,quest_low_converged,miniblock_order,starts_with,
,,27,2,001,25,f,r,calibration,0.75,2,-1,27,0.7133701336716126,0.9118086882105548,1,False,1.4307734000030905,False,dot,dot,0.2943704926282352,14.271620467729518,2754.4227502717968,184.90584226112034,118,[np.int64(461)],nan,nan,nan,nan,nan,,,,,,,,,,,,2,001,25,f,r,,,,,,,
,,28,2,001,25,f,r,calibration,0.75,2,-1,28,0.7133701336716126,0.9118086882105548,1,False,1.0219688000070164,False,square,square,0.2917138342791681,12.769032640600546,3460.407845602748,234.351213091397,69,[np.int64(1228)],nan,nan,nan,nan,nan,,,,,,,,,,,,2,001,25,f,r,,,,,,,
,,29,2,001,25,f,r,calibration,0.75,2,-1,29,0.6580745541515514,0.654725510385422,1,False,0.7736025000049267,False,dot,dot,0.29553378741963654,17.725484247424543,3226.038133031267,193.64507568265458,985,[np.int64(1227)],nan,nan,nan,nan,nan,,,,,,,,,,,,2,001,25,f,r,,,,,,,
,,30,2,001,25,f,r,calibration,0.75,2,-1,30,0.6580745541515514,0.654725510385422,1,False,0.7594619999872521,False,dot,dot,0.29901832081771107,16.51639948946583,3022.5011065722465,161.48979193618888,151,[np.int64(939)],0.620551591017141,3.697334153552055,2.2344694017333855,0.021828324058855215,0.02034974042826338,,,,,,,,,,,,2,001,25,f,r,,,,,,,
,,31,2,001,25,f,r,calibration,0.75,2,-1,31,0.6580745541515514,0.654725510385422,1,False,1.0182019999920158,False,dot,dot,0.3021269574807275,9.966608799768716,3129.5151631273766,177.59989147972962,295,[np.int64(862)],nan,nan,nan,nan,nan,,,,,,,,,,,,2,001,25,f,r,,,,,,,
,,32,2,001,25,f,r,calibration,0.75,2,-1,32,0.6580745541515514,0.654725510385422,1,False,0.7528204999980517,False,dot,dot,0.30484734294613786,15.075236539580313,2803.993996361938,203.42680939302537,647,[np.int64(609)],nan,nan,nan,nan,nan,,,,,,,,,,,,2,001,25,f,r,,,,,,,
,,33,2,001,25,f,r,calibration,0.75,2,-1,33,0.6580745541515514,0.654725510385422,1,False,0.9432194999972126,False,square,square,0.30719262901211675,16.67217801905907,3051.00857748781,179.1741001151561,89,[np.int64(973)],nan,nan,nan,nan,nan,,,,,,,,,,,,2,001,25,f,r,,,,,,,
,,34,2,001,25,f,r,calibration,0.75,2,-1,34,0.5981210736084265,0.3976423325602886,1,False,1.2623068999964744,False,dot,dot,0.31715124625168295,19.293325530502926,3511.385246551533,194.67112592593034,1520,[np.int64(1216)],nan,nan,nan,nan,nan,,,,,,,,,,,,2,001,25,f,r,,,,,,,
,,35,2,001,25,f,r,calibration,0.75,2,-1,35,0.5981210736084265,0.3976423325602886,1,False,0.7911824000038905,False,dot,dot,0.32647982255922436,13.819021754023453,2611.7951115104324,202.24283075918407,905,[np.int64(551)],nan,nan,nan,nan,nan,,,,,,,,,,,,2,001,25,f,r,,,,,,,
,,36,2,001,25,f,r,calibration,0.75,2,-1,36,0.5981210736084265,0.3976423325602886,1,False,0.7426830000040354,False,square,square,0.3349396727254236,17.064161297742455,3105.677356189127,181.005034569209,789,[np.int64(743)],nan,nan,nan,nan,nan,,,,,,,,,,,,2,001,25,f,r,,,,,,,
