thisRow.t,notes,overall_trial_num,participant,session,age,gender,handedness,phase,calib_target,n_shapes,block_num,trial_in_block,prop_used,stimulus_logit,detection_accuracy,is_timeout,rt_choice,early_response,true_controlled,response_controlled,quest_alpha_sd,mean_evidence,sum_evidence,var_evidence,target_snippet_id,distractor_snippet_ids,quest_alpha_mean,quest_beta_mean,quest_beta_sd,quest_lambda_mean,quest_lambda_sd,control_condition,threshold_75,agency_rating,img_A_name,img_B_name,trigger_fix,trigger_stim_onset,trigger_motion_start,trigger_resp_onset,trigger_resp_val,trigger_agency_onset,target_is_left,participant,session,age,gender,handedness,quest_prop_high,quest_high_converged,quest_prop_low,quest_low_converged,miniblock_order,starts_with,
,,28,12,001,28,f,r,calibration,0.75,2,-1,28,0.29156950079727495,-0.887773556565376,1,False,0.6350375000620261,False,square,square,0.32918012714659983,2.1317131647890113,387.97179599160006,189.1289185756015,424,[np.int64(231)],nan,nan,nan,nan,nan,,,,,,,,,,,,,12,001,28,f,r,,,,,,,
,,29,12,001,28,f,r,calibration,0.75,2,-1,29,0.29156950079727495,-0.887773556565376,1,False,0.7614173999754712,False,dot,dot,0.3325742698956748,0.7229680483403691,131.58018479794717,227.8220718714263,1089,[np.int64(42)],nan,nan,nan,nan,nan,,,,,,,,,,,,,12,001,28,f,r,,,,,,,
,,30,12,001,28,f,r,calibration,0.75,2,-1,30,0.29156950079727495,-0.887773556565376,1,False,0.4954567999811843,False,dot,dot,0.3351928334384176,4.274381428060791,777.9374199070639,249.34390065718944,6,[np.int64(1531)],-0.9497044249800071,3.6114727433506335,2.2022182771405183,0.020659203447155827,0.01990489461711535,,,,,,,,,,,,,12,001,28,f,r,,,,,,,
,,31,12,001,28,f,r,calibration,0.75,2,-1,31,0.29156950079727495,-0.887773556565376,1,False,1.1603515000315383,False,square,square,0.3369724581786439,4.9006297625374335,891.9146167818129,262.7733603719041,26,[np.int64(990)],nan,nan,nan,nan,nan,,,,,,,,,,,,,12,001,28,f,r,,,,,,,
,,32,12,001,28,f,r,calibration,0.75,2,-1,32,0.29156950079727495,-0.887773556565376,0,False,0.527772199944593,False,square,dot,0.2943853200409913,3.180723498928916,578.8916768050627,471.36766493599845,1297,[np.int64(294)],nan,nan,nan,nan,nan,,,,,,,,,,,,,12,001,28,f,r,,,,,,,
,,33,12,001,28,f,r,calibration,0.75,2,-1,33,0.29156950079727495,-0.887773556565376,1,False,0.7302507000276819,False,dot,dot,0.2957047449727286,3.5711127987203146,653.5136421658176,502.9365438960468,834,[np.int64(1384)],nan,nan,nan,nan,nan,,,,,,,,,,,,,12,001,28,f,r,,,,,,,
,,34,12,001,28,f,r,calibration,0.75,2,-1,34,0.29156950079727495,-0.887773556565376,1,False,0.7872650000499561,False,square,square,0.2967065251895453,2.4846416208592133,462.14334147981367,303.25593056442756,235,[np.int64(874)],nan,nan,nan,nan,nan,,,,,,,,,,,,,12,001,28,f,r,,,,,,,
,,35,12,001,28,f,r,calibration,0.75,2,-1,35,0.29156950079727495,-0.887773556565376,1,False,0.5524727000156417,False,square,square,0.29735678799734067,3.76911329902686,685.9786204228885,470.2004510283362,1509,[np.int64(1191)],nan,nan,nan,nan,nan,,,,,,,,,,,,,12,001,28,f,r,,,,,,,
,,36,12,001,28,f,r,calibration,0.75,2,-1,36,0.29156950079727495,-0.887773556565376,1,False,0.6126159999985248,False,dot,dot,0.2976505075687765,3.982806134433221,724.8707164668463,345.98996892487696,1062,[np.int64(1406)],nan,nan,nan,nan,nan,,,,,,,,,,,,,12,001,28,f,r,,,,,,,
,,37,12,001,28,f,r,calibration,0.75,2,-1,37,0.29156950079727495,-0.887773556565376,0,False,0.5808293999871239,False,square,dot,0.26848121101665634,6.244905972254501,1136.5728869503191,210.70617649747203,570,[np.int64(478)],nan,nan,nan,nan,nan,,,,,,,,,,,,,12,001,28,f,r,,,,,,,
