thisRow.t,notes,overall_trial_num,participant,session,age,gender,handedness,phase,calib_target,n_shapes,block_num,trial_in_block,prop_used,stimulus_logit,detection_accuracy,is_timeout,rt_choice,early_response,true_controlled,response_controlled,quest_alpha_sd,mean_evidence,sum_evidence,var_evidence,target_snippet_id,distractor_snippet_ids,quest_alpha_mean,quest_beta_mean,quest_beta_sd,quest_lambda_mean,quest_lambda_sd,control_condition,threshold_75,agency_rating,img_A_name,img_B_name,trigger_fix,trigger_stim_onset,trigger_motion_start,trigger_resp_onset,trigger_resp_val,trigger_agency_onset,target_is_left,participant,session,age,gender,handedness,quest_prop_low,quest_low_converged,quest_prop_high,quest_high_converged,miniblock_order,starts_with,
,,27,11,001,28,m,r,calibration,0.55,2,0,27,0.47090191089840744,-0.11652402308997703,1,False,0.4857209000037983,False,square,square,0.3007768401475574,4.519535635566623,822.5554856731253,167.88919350097498,29,[np.int64(854)],nan,nan,nan,nan,nan,,,,,,,,,,,,,11,001,28,m,r,,,,,,,
,,28,11,001,28,m,r,calibration,0.55,2,0,28,0.47090191089840744,-0.11652402308997703,1,False,0.570631799986586,False,dot,dot,0.3003515475583416,8.814076219298848,1771.6293200790683,207.35598985229166,197,[np.int64(1277)],nan,nan,nan,nan,nan,,,,,,,,,,,,,11,001,28,m,r,,,,,,,
,,29,11,001,28,m,r,calibration,0.55,2,0,29,0.40766968306220214,-0.37360720091511007,1,False,1.0302547999890521,False,square,square,0.3072682850389802,3.052672372818635,622.7451640550015,232.03034128614593,183,[np.int64(742)],nan,nan,nan,nan,nan,,,,,,,,,,,,,11,001,28,m,r,,,,,,,
,,30,11,001,28,m,r,calibration,0.55,2,0,30,0.40766968306220214,-0.37360720091511007,0,False,0.5440101000131108,False,dot,square,0.2637708018361733,2.8140751717560666,560.0009591794573,245.36118674939456,331,[np.int64(1126)],-0.2289883296210882,3.8027376191553035,2.2951797880222857,0.023393992151709182,0.020838440998303384,,,,,,,,,,,,,11,001,28,m,r,,,,,,,
,,31,11,001,28,m,r,calibration,0.55,2,0,31,0.47090191089840744,-0.11652402308997703,1,False,0.8677490999689326,False,dot,dot,0.2614989718680805,3.15978124139945,660.3942794524851,215.06437537452913,382,[np.int64(76)],nan,nan,nan,nan,nan,,,,,,,,,,,,,11,001,28,m,r,,,,,,,
,,32,11,001,28,m,r,calibration,0.55,2,0,32,0.47090191089840744,-0.11652402308997703,0,False,0.8500093999900855,False,square,dot,0.24481482391697176,6.042306520034029,1105.7420931662273,258.93866853880417,604,[np.int64(701)],nan,nan,nan,nan,nan,,,,,,,,,,,,,11,001,28,m,r,,,,,,,
,,33,11,001,28,m,r,calibration,0.55,2,0,33,0.47090191089840744,-0.11652402308997703,0,False,1.0874986999551766,False,dot,square,0.23616221298232365,9.901907801040593,1802.1472197893881,155.00925923007154,1594,[np.int64(944)],nan,nan,nan,nan,nan,,,,,,,,,,,,,11,001,28,m,r,,,,,,,
,,34,11,001,28,m,r,calibration,0.55,2,0,34,0.5350820483873121,0.14055915473515587,1,False,0.48561819997848943,False,square,square,0.22911771014286694,16.702860475142398,3056.6234669510586,222.80248406581245,153,[np.int64(478)],nan,nan,nan,nan,nan,,,,,,,,,,,,,11,001,28,m,r,,,,,,,
,,35,11,001,28,m,r,calibration,0.55,2,0,35,0.5350820483873121,0.14055915473515587,1,False,0.5517014000215568,False,square,square,0.223094034569696,11.16084682976176,2254.4910596118752,210.4975064573739,1480,[np.int64(1525)],nan,nan,nan,nan,nan,,,,,,,,,,,,,11,001,28,m,r,,,,,,,
,,36,11,001,28,m,r,calibration,0.55,2,0,36,0.5350820483873121,0.14055915473515587,1,False,0.5918763999943621,False,dot,dot,0.21795868209906985,8.152725567881088,1703.9196436871475,135.07998646046647,155,[np.int64(842)],nan,nan,nan,nan,nan,,,,,,,,,,,,,11,001,28,m,r,,,,,,,
