thisRow.t,notes,overall_trial_num,participant,session,age,gender,handedness,phase,calib_target,n_shapes,block_num,trial_in_block,prop_used,stimulus_logit,detection_accuracy,is_timeout,rt_choice,early_response,true_controlled,response_controlled,quest_alpha_sd,mean_evidence,sum_evidence,var_evidence,target_snippet_id,distractor_snippet_ids,quest_alpha_mean,quest_beta_mean,quest_beta_sd,quest_lambda_mean,quest_lambda_sd,control_condition,threshold_75,agency_rating,img_A_name,img_B_name,trigger_fix,trigger_stim_onset,trigger_motion_start,trigger_resp_onset,trigger_resp_val,target_is_left,participant,session,age,gender,handedness,quest_prop_low,quest_low_converged,quest_prop_high,quest_high_converged,miniblock_order,starts_with,
,,11,3,001,21,f,r,calibration,0.55,2,0,11,0.5981210736084265,0.3976423325602886,1,False,0.7698662999900989,False,dot,dot,0.4698600117653639,0.9650887410324794,316.54910705865325,3.2151574959788705,836,[np.int64(148)],nan,nan,nan,nan,nan,,,,,,,,,,,,3,001,21,f,r,,,,,,,
,,12,3,001,21,f,r,calibration,0.55,2,0,12,0.5350820483873121,0.14055915473515587,1,False,0.9751493999792729,False,square,square,0.47367996117568995,0.5945143510474538,191.43362103728012,1.1519783330532105,913,[np.int64(422)],nan,nan,nan,nan,nan,,,,,,,,,,,,3,001,21,f,r,,,,,,,
,,13,3,001,21,f,r,calibration,0.55,2,0,13,0.5350820483873121,0.14055915473515587,1,False,1.2377898000122514,False,dot,dot,0.47495713309923404,0.959965371281438,276.47002692905414,4.073022070538003,72,[np.int64(1110)],nan,nan,nan,nan,nan,,,,,,,,,,,,3,001,21,f,r,,,,,,,
,,14,3,001,21,f,r,calibration,0.55,2,0,14,0.5350820483873121,0.14055915473515587,1,False,0.791992799990112,False,square,square,0.47383338162218297,2.005757585684693,579.6639422628763,25.38620637383259,555,[np.int64(919)],nan,nan,nan,nan,nan,,,,,,,,,,,,3,001,21,f,r,,,,,,,
,,15,3,001,21,f,r,calibration,0.55,2,0,15,0.47090191089840744,-0.11652402308997703,1,False,0.6401793000113685,False,square,square,0.482109000752846,0.7160621246753937,254.20205425976474,4.1431824230482865,964,[np.int64(969)],nan,nan,nan,nan,nan,,,,,,,,,,,,3,001,21,f,r,,,,,,,
,,16,3,001,21,f,r,calibration,0.55,2,0,16,0.47090191089840744,-0.11652402308997703,1,False,0.6779790000000503,False,dot,dot,0.48710526082801286,0.45202585916246185,153.68879211523702,1.9048967597514346,875,[np.int64(1031)],nan,nan,nan,nan,nan,,,,,,,,,,,,3,001,21,f,r,,,,,,,
,,17,3,001,21,f,r,calibration,0.55,2,0,17,0.47090191089840744,-0.11652402308997703,0,False,0.5695448000042234,False,dot,square,0.412477589942058,2.4443260257162227,659.9680269433801,8.584537862392756,1345,[np.int64(1338)],nan,nan,nan,nan,nan,,,,,,,,,,,,3,001,21,f,r,,,,,,,
,,18,3,001,21,f,r,calibration,0.55,2,0,18,0.5350820483873121,0.14055915473515587,1,False,0.91895459999796,False,dot,dot,0.40675088227629325,4.064477907482295,1044.5708222229498,36.43790767234001,1171,[np.int64(1038)],nan,nan,nan,nan,nan,,,,,,,,,,,,3,001,21,f,r,,,,,,,
,,19,3,001,21,f,r,calibration,0.55,2,0,19,0.5350820483873121,0.14055915473515587,0,False,0.896669199981261,False,dot,square,0.375190111049475,1.3528796701063353,288.1633697326494,16.73322682730653,791,[np.int64(1576)],nan,nan,nan,nan,nan,,,,,,,,,,,,3,001,21,f,r,,,,,,,
,,20,3,001,21,f,r,calibration,0.55,2,0,20,0.5981210736084265,0.3976423325602886,1,False,0.770385100011481,False,square,square,0.3636061962145806,1.4520376763565994,439.96741593604963,5.496232269709488,921,[np.int64(554)],0.14480466606162087,3.399695911254378,2.109368718956637,0.025523047813315283,0.021398381520547755,,,,,,,,,,,,3,001,21,f,r,,,,,,,
